iter	RMSE
0	12421.04765
1	11460.64954
2	10523.13178
3	9666.131596
4	8890.180834
5	8167.033911
6	7547.462474
7	6957.602762
8	6435.728778
9	5929.260333
10	5549.506007
11	5160.848353
12	4803.441186
13	4498.737824
14	4214.978584
15	3951.583096
16	3715.452233
17	3505.746162
18	3303.223069
19	3153.351993
20	2991.174019
21	2854.848463
22	2738.198764
23	2628.506913
24	2525.397309
25	2440.87204
26	2373.178656
27	2302.102745
28	2241.183301
29	2186.527932
30	2138.323685
31	2084.479731
32	2042.293845
33	2011.4804
34	1975.751382
35	1942.914415
36	1919.796529
37	1874.244849
38	1855.161412
39	1827.292351
40	1810.633856
41	1780.461575
42	1759.554192
43	1739.847497
44	1724.959586
45	1710.324411
46	1695.182291
47	1685.540784
48	1672.050106
49	1657.96129
50	1646.427051
51	1629.529291
52	1623.125606
53	1613.987081
54	1602.434027
55	1591.315439
56	1574.924894
57	1569.847648
58	1546.250542
59	1536.112746
60	1528.526717
61	1521.393827
62	1511.657733
63	1502.998548
64	1491.492942
65	1482.296639
66	1472.80146
67	1460.811399
68	1449.868452
69	1438.792719
70	1426.986327
71	1418.46394
72	1416.55818
73	1412.418214
74	1394.955203
75	1384.044451
76	1375.158542
77	1367.540584
78	1357.890612
79	1346.593041
80	1341.820681
81	1332.940428
82	1326.849622
83	1319.325405
84	1312.500985
85	1307.072688
86	1298.171218
87	1293.132596
88	1286.860842
89	1279.380476
90	1271.687503
91	1270.092082
92	1268.594082
93	1263.165084
94	1252.257229
95	1241.66607
96	1233.495616
97	1219.471681
98	1215.907986
99	1213.14197
100	1201.269491
101	1184.853445
102	1180.575831
103	1171.01133
104	1166.422794
105	1160.823995
106	1154.350034
107	1144.454281
108	1136.554913
109	1135.662904
110	1134.459965
111	1126.33642
112	1125.318352
113	1123.205727
114	1116.09429
115	1106.877087
116	1103.380427
117	1094.072311
118	1086.533196
119	1080.377017
120	1076.335389
121	1073.574117
122	1069.313782
123	1063.389012
124	1056.145054
125	1049.200242
126	1042.549028
127	1035.882335
128	1029.979115
129	1027.395814
130	1018.266225
131	1011.280988
132	1005.965704
133	1000.815926
134	991.9025783
135	989.4601275
136	986.1808032
137	979.4757222
138	970.3449014
139	968.66077
140	963.0430171
141	959.5855562
142	951.3762003
143	949.6476114
144	946.5734046
145	943.7346257
146	942.8302949
147	941.5136918
148	937.8135225
149	930.8626983
150	930.1699716
151	925.7913105
152	921.6536227
153	920.5523433
154	916.8572237
155	910.207572
156	906.5490669
157	902.1228809
158	897.6624755
159	891.2879083
160	884.7212749
161	879.3022601
162	876.1013433
163	870.3302967
164	865.5028754
165	862.271267
166	858.4622261
167	857.705254
168	853.6147015
169	847.7098918
170	844.754282
171	841.1203006
172	837.7560293
173	835.4068759
174	831.6371986
175	828.6709031
176	822.9552057
177	820.2066153
178	819.0367334
179	816.7816547
180	813.3465543
181	808.2583717
182	807.6526776
183	805.3414912
184	801.0503959
185	798.6014865
186	796.0155181
187	792.149838
188	791.1607411
189	789.095771
190	786.5300495
191	781.031736
192	778.5201937
193	772.9819415
194	770.6078317
195	768.3070256
196	765.690295
197	762.0523277
198	761.6429459
199	758.424604
200	752.0375945
201	750.2155827
202	745.7125075
203	742.2305507
204	738.9958628
205	736.5863891
206	734.2184201
207	731.2844295
208	725.8362611
209	722.6529289
210	718.5861532
211	715.9244627
212	712.3279196
213	710.8157402
214	709.2015185
215	707.2505372
216	704.2265025
217	700.806967
218	698.5998136
219	697.6675585
220	695.6068448
221	693.8948685
222	692.4394028
223	690.7404421
224	688.0546339
225	685.1506919
226	681.6025044
227	679.3856639
228	676.5886532
229	675.5143406
230	674.9741982
231	672.5518536
232	670.3595554
233	665.810562
234	662.7951626
235	659.2303826
236	656.1078311
237	651.855537
238	646.8489132
239	645.2655668
240	644.3410249
241	641.0809444
242	639.3845435
243	636.2072736
244	633.0725771
245	632.3601647
246	628.4803476
247	625.5991559
248	624.2772095
249	623.0988416
250	620.5083976
251	617.5676683
252	617.1729591
253	616.8086405
254	613.7793911
255	611.0197837
256	609.18285
257	604.9357182
258	603.4779954
259	600.1982329
260	599.2276467
261	597.8775547
262	596.4978824
263	595.17818
264	594.3786226
265	591.6532908
266	588.4862512
267	587.3567923
268	586.0606142
269	584.2003722
270	581.7610255
271	579.6517614
272	577.5721287
273	575.554031
274	574.5578038
275	572.0096366
276	570.4820568
277	568.4659377
278	567.3380869
279	566.6616465
280	563.6411734
281	562.6444809
282	560.560476
283	559.7671353
284	556.999567
285	555.4268588
286	554.2381001
287	552.6311272
288	551.9418814
289	550.659865
290	550.4814748
291	548.7832924
292	547.6559154
293	545.7246526
294	544.2000881
295	543.5822567
296	541.4761027
297	541.017663
298	539.8451411
299	538.4194528
300	535.4241553
301	535.0547277
302	532.4970479
303	530.5317381
304	528.3017497
305	526.4759017
